,Ticker,Company,MS,MBI,MB,CNN,BS
488,AGFMF,AGF Management Ltd,False,False,True,True,False
489,AGFS,AgroFresh Solutions Inc,False,True,True,True,True
490,AGGFF,African Gold Group Inc,False,False,False,True,False
491,AGGG,Antilia Group Corp,False,False,False,True,False
492,AGGHF,Agrios Global Holdings Ltd,False,False,False,True,False
493,AGGKY,Aggreko PLC,False,False,False,True,False
494,AGGL,AgTech Global International Inc,False,False,False,True,False
495,AGGX,AngioGenex Inc,False,False,False,True,False
496,AGGZF,Ag Growth International Inc,False,False,True,True,False
497,AGHC,Aeon Global Health Corp,False,False,True,True,False
498,AGHEF,Agility Health Inc,False,False,False,True,False
499,AGHI,Agora Holdings Inc,False,False,True,True,False
500,AGI,Alamos Gold Inc,True,True,True,True,True
501,AGIO,Agios Pharmaceuticals Inc,False,True,True,True,True
502,AGLAF,Aguila American Gold Ltd,False,False,False,True,False
503,AGLDF,Austral Gold Ltd,False,False,False,True,False
504,AGLE,Aeglea BioTherapeutics Inc,False,True,True,True,True
505,AGLNF,AGL Energy Ltd,False,False,True,True,False
506,AGLT,Angel Telecom Corp,False,False,False,True,False
507,AGLXY,AGL Energy Ltd,False,False,True,True,False
508,AGLY,Agiliti Inc,False,False,False,True,False
509,AGM,Federal Agricultural Mortgage Corp,True,True,True,True,True
510,AGM.A,Federal Agricultural Mortgage Corp,True,False,True,True,False
511,AGMH,AGM Group Holdings Inc,False,True,True,True,False
512,AGMIF,Aldridge Minerals Inc,False,False,False,False,False
513,AGMJF,Algoma Central Corp,False,False,False,True,False
514,AGMMF,Aggregated Micro Power Holdings PLC,False,False,False,False,False
515,AGN,Allergan PLC,True,True,True,True,True
516,AGNC,AGNC Investment Corp,False,True,True,True,True
517,AGNCB,,False,True,False,False,False
518,AGNCM,,False,True,False,True,False
519,AGNCN,,False,True,False,True,False
520,AGNCO,,False,True,False,True,False
521,AGNCP,,False,False,False,True,False
522,AGNPF,Algernon Pharmaceuticals Inc,False,False,False,True,False
523,AGNRF,AgriNurture Inc,False,False,False,False,False
524,AGO,Assured Guaranty Ltd,True,True,True,True,True
525,AGODY,Atlas Iron Ltd,False,False,True,False,False
526,AGPDF,Amer Sports Oyj,False,False,False,True,False
527,AGPDY,Amer Sports Oyj,False,False,False,False,False
528,AGPIF,Anglo Pacific Group PLC,False,False,True,True,False
529,AGPKF,Augros Cosmetics Packaging SA,False,False,False,True,False
530,AGPL,Apple Green Holding Inc,False,False,False,True,False
531,AGPPF,Anglo American Platinum Ltd,False,False,True,True,False
532,AGPYF,Agile Group Holdings Ltd,False,False,False,True,False
533,AGPYY,Agile Group Holdings Ltd,False,False,True,True,False
534,AGR,Avangrid Inc,True,True,True,True,True
535,AGRDF,Minnova Corp,False,False,False,True,False
536,AGRNQ,America Greener Technologies Inc,False,False,False,False,False
537,AGRO,Adecoagro SA,True,True,True,True,True
538,AGRPF,Absa Group Ltd,False,False,False,True,False
539,AGRPY,Absa Group Ltd,False,False,True,True,False
540,AGRUF,AF Gruppen ASA,False,False,False,True,False
541,AGRX,Agile Therapeutics Inc,False,True,True,True,False
542,AGRYF,Petroleum Services Group ASA,False,False,False,False,False
543,AGRZF,AgriTec Systems Inc,False,False,False,False,False
544,AGS,PlayAGS Inc,True,True,True,True,True
545,AGSM,Silver Stream Mining Corp,False,False,False,True,False
546,AGSVF,Argentum Silver Corp,False,False,False,True,False
547,AGTAF,Agriterra Ltd,False,False,False,True,False
548,AGTC,Applied Genetic Technologies Corp,False,True,True,True,True
549,AGTEF,AGTech Holdings Ltd,False,False,False,True,False
550,AGTK,Agritek Holdings Inc,False,False,True,True,False
551,AGTT,Angstrom Technologies Inc,False,False,False,True,False
552,AGTX,Agentix Corp,False,False,True,True,False
553,AGU,Agrium Inc,False,False,True,False,False
554,AGUNF,Arctic Glacier Income Fund,False,False,False,True,False
555,AGVYY,Avangardco Investments Public Ltd,False,False,False,True,False
556,AGX,Argan Inc,True,True,True,True,True
557,AGXKF,Anglo Asian Mining PLC,False,False,False,True,False
558,AGXMF,Argentex Mining Corp,False,False,False,False,False
559,AGXXF,AGT Food and Ingredients Inc,False,False,True,False,False
560,AGYS,Agilysys Inc,False,True,True,True,True
561,AGYTF,Allergy Therapeutics PLC,False,False,True,True,False
562,AGZNF,Aegean Airlines SA,False,False,False,True,False
563,AHAD,Alphacom Holdings Inc,False,False,False,True,False
564,AHAG,Alpha Technologies Group Inc,False,False,False,True,False
565,AHBCF,Asahi Broadcasting Group Holdings Corp,False,False,False,False,False
566,AHC,A H Belo Corp,True,True,True,True,True
567,AHCHF,Anhui Conch Cement Co Ltd,False,False,False,True,False
568,AHCHY,Anhui Conch Cement Co Ltd,False,False,True,True,False
569,AHCLF,Australian Ethical Investment Ltd,False,False,False,False,False
570,AHCO,AdaptHealth Corp,False,True,True,True,False
571,AHELF,American Helium Inc,False,False,False,True,False
572,AHEXF,Adecco Group AG,False,False,False,True,False
573,AHEXY,Adecco Group AG,False,False,True,True,False
574,AHFCF,Logiq Asset Management Ltd.,False,False,False,True,False
575,AHFCF,Flow Capital Corp,False,False,False,True,False
576,AHFI,Absolute Health and Fitness Inc,False,False,False,True,False
577,AHFP,Artisanal Brands Inc,False,False,False,False,False
578,AHGHF,Althea Group Holdings Ltd,False,False,False,True,False
579,AHGIF,Alternate Health Corp,False,False,False,True,False
580,AHGP,Alliance Holdings GP LP,False,True,False,False,True
581,AHH,Armada Hoffler Properties Inc,True,True,True,True,True
582,AHICF,Asahi Intecc Co Ltd,False,False,False,True,False
583,AHKSF,Asahi Kasei Corp,False,False,False,True,False
584,AHKSY,Asahi Kasei Corp,False,False,True,True,True
585,AHL,Aspen Insurance Holdings Ltd,False,True,True,False,True
586,AHLLF,Ahlsell AB,False,False,False,False,False
587,AHMS,American Homestar Corp,False,False,False,False,False
588,AHNMF,Archon Minerals Ltd,False,False,False,True,False
589,AHNR,Athena Silver Corp,False,False,True,True,False
590,AHODF,Koninklijke Ahold Delhaize NV,False,False,False,True,False
591,AHOTF,American Hotel Income Properties REIT LP,False,False,True,True,False
592,AHPI,Allied Healthcare Products Inc,False,True,True,True,True
593,AHREF,Amanahraya Real Estate Investment Trust,False,False,False,False,False
594,AHT,Ashford Hospitality Trust Inc,True,True,True,True,True
595,AHWSF,Athens Water Supply & Sewerage Co,False,False,False,True,False
596,AI,Arlington Asset Investment Corp,True,True,True,True,True
597,AIABF,AirAsia Group Bhd,False,False,True,True,False
598,AIAGF,Aurubis AG,False,False,False,True,False
599,AIAGY,Aurubis AG,False,False,False,True,False
600,AIAPF,Ascential PLC,False,False,True,True,False
601,AIBEF,Air Berlin PLC,False,False,False,True,False
602,AIBGY,AIB Group PLC,False,False,False,True,False
603,AIBRF,AIB Group PLC,False,False,True,True,False
604,AIC,,False,False,False,True,False
605,AICAF,Air China Ltd,False,False,True,True,False
